article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
small-business,corporations-by-size,category,5人以下,corporation-share,中小法人企業の構成比,66.69,企業数の構成比（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470280&fileKind=0,25724033128b3a89c17983b597d1745a9cf8d05361e57676d07f0dd99865ed4b,原表『会社全体の従業者数(1)産業別・従業者規模別表』M7:P7を法人企業計L7で除し100倍。企業数4区分の合計がL7と一致することを確認。
small-business,corporations-by-size,category,6〜20人,corporation-share,中小法人企業の構成比,21.54,企業数の構成比（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470280&fileKind=0,25724033128b3a89c17983b597d1745a9cf8d05361e57676d07f0dd99865ed4b,原表『会社全体の従業者数(1)産業別・従業者規模別表』M7:P7を法人企業計L7で除し100倍。企業数4区分の合計がL7と一致することを確認。
small-business,corporations-by-size,category,21〜50人,corporation-share,中小法人企業の構成比,7.15,企業数の構成比（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470280&fileKind=0,25724033128b3a89c17983b597d1745a9cf8d05361e57676d07f0dd99865ed4b,原表『会社全体の従業者数(1)産業別・従業者規模別表』M7:P7を法人企業計L7で除し100倍。企業数4区分の合計がL7と一致することを確認。
small-business,corporations-by-size,category,51人以上,corporation-share,中小法人企業の構成比,4.62,企業数の構成比（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470280&fileKind=0,25724033128b3a89c17983b597d1745a9cf8d05361e57676d07f0dd99865ed4b,原表『会社全体の従業者数(1)産業別・従業者規模別表』M7:P7を法人企業計L7で除し100倍。企業数4区分の合計がL7と一致することを確認。
