article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
trade,fuels-middleeast-share-2025,category,原油及び粗油,middleeast-by-fuel,各品目の輸入数量に占める中東の割合,94.0106348305883,%,https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv | https://www.customs.go.jp/toukei/suii/html/data/d62ca007.csv,4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1 | 4387bfd8eb071c96bfc4f740d50f1579c3b3af5c496e5b8f3076f32ac5ee441b,2025年の原油30301（列34・KL）、LNG3050103（列40・MT）、LPG3050101（列42・MT）で中東数量 ÷ 世界数量 × 100を個別に計算。列は0始まり。
trade,fuels-middleeast-share-2025,category,液化天然ガス（LNG）,middleeast-by-fuel,各品目の輸入数量に占める中東の割合,10.79536814256075,%,https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv | https://www.customs.go.jp/toukei/suii/html/data/d62ca007.csv,4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1 | 4387bfd8eb071c96bfc4f740d50f1579c3b3af5c496e5b8f3076f32ac5ee441b,2025年の原油30301（列34・KL）、LNG3050103（列40・MT）、LPG3050101（列42・MT）で中東数量 ÷ 世界数量 × 100を個別に計算。列は0始まり。
trade,fuels-middleeast-share-2025,category,液化石油ガス（LPG）,middleeast-by-fuel,各品目の輸入数量に占める中東の割合,2.0234588094838526,%,https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv | https://www.customs.go.jp/toukei/suii/html/data/d62ca007.csv,4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1 | 4387bfd8eb071c96bfc4f740d50f1579c3b3af5c496e5b8f3076f32ac5ee441b,2025年の原油30301（列34・KL）、LNG3050103（列40・MT）、LPG3050101（列42・MT）で中東数量 ÷ 世界数量 × 100を個別に計算。列は0始まり。
