article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
wages,nominal-real-wages,calendar_year,2022,nominal,名目賃金,2,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2022,real,実質賃金,-1,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2023,nominal,名目賃金,1.2,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2023,real,実質賃金,-2.5,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2024,nominal,名目賃金,2.8,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2024,real,実質賃金,-0.3,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2025,nominal,名目賃金,2.3,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
wages,nominal-real-wages,calendar_year,2025,real,実質賃金,-1.3,前年比（%）,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2,毎月勤労統計・時系列表第1表『賃金指数』A9:A12を年、D9:D12を名目前年比、E9:E12を実質前年比として抽出。再計算・補間なし。
