article,chart,period_type,period,series_id,label,value,unit,source_urls,source_sha256,derivation
small-business,small-corporation-costs,category,売上原価,sales-composition,売上高に対する割合,69.13,売上高に対する割合（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470290&fileKind=0,2ce248e3d1a32afdb6aa3557b1483aac27c7742c564c5956abb9af6153e03dab,原表『売上高及び営業費用(1)産業別・従業者規模別表』M10(売上原価)、M18(販管費)、M27(営業利益)をM9(売上高)で除し100倍。3項目の和を売上高と照合。単位は原表の百万円から比率へ換算。
small-business,small-corporation-costs,category,販売費・一般管理費,sales-composition,売上高に対する割合,27.87,売上高に対する割合（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470290&fileKind=0,2ce248e3d1a32afdb6aa3557b1483aac27c7742c564c5956abb9af6153e03dab,原表『売上高及び営業費用(1)産業別・従業者規模別表』M10(売上原価)、M18(販管費)、M27(営業利益)をM9(売上高)で除し100倍。3項目の和を売上高と照合。単位は原表の百万円から比率へ換算。
small-business,small-corporation-costs,category,営業利益,sales-composition,売上高に対する割合,3.0,売上高に対する割合（%）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040470290&fileKind=0,2ce248e3d1a32afdb6aa3557b1483aac27c7742c564c5956abb9af6153e03dab,原表『売上高及び営業費用(1)産業別・従業者規模別表』M10(売上原価)、M18(販管費)、M27(営業利益)をM9(売上高)で除し100倍。3項目の和を売上高と照合。単位は原表の百万円から比率へ換算。
