《中東》  【年別】　（単位：千円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE EAST  Calender Year Data  (a thousand yen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,Exp-Total,Imp-Total,Exp-133,Imp-133,Exp-134,Imp-134,Exp-135,Imp-135,Exp-136,Imp-136,Exp-137,Imp-137,Exp-138,Imp-138,Exp-140,Imp-140,Exp-141,Imp-141,Exp-142,Imp-142,Exp-143,Imp-143,Exp-144,Imp-144,Exp-145,Imp-145,Exp-146,Imp-146,Exp-147,Imp-147,Exp-148,Imp-148,Exp-149,Imp-149,Exp-158,Imp-158
,,,IRAN,IRAN,IRAQ,IRAQ,BAHRAIN,BAHRAIN,P YEMEN,P YEMEN,SU ARAB,SU ARAB,KUWAIT,KUWAIT,QATAR,QATAR,OMAN,OMAN,YEMEN,YEMEN,ISRAEL,ISRAEL,JORDAN,JORDAN,SYRIA,SYRIA,LEBANON,LEBANON,U ARB E,U ARB E,GAZA,GAZA,YEMEN,YEMEN,W B G S,W B G S
1991 ,1497540222 ,3916889493 ,333126431 ,374784272 ,40926 ,27968 ,22264838 ,60800214 ,0 ,0 ,523713771 ,1355081513 ,58007111 ,7503233 ,28126915 ,289624829 ,82426879 ,290576264 ,0 ,0 ,99025831 ,99578605 ,11508677 ,3394287 ,15835893 ,535977 ,14470911 ,213602 ,289736413 ,1412794923 ,1110 ,18600 ,19254516 ,21955206 ,0 ,0 
1992 ,1778650202 ,3680397770 ,336652275 ,330031400 ,52683 ,160696 ,26990660 ,38533195 ,0 ,0 ,614189349 ,1290109929 ,96961942 ,150653241 ,36922092 ,275670584 ,100552555 ,248668254 ,0 ,0 ,126982322 ,88019055 ,21888208 ,3054675 ,38012531 ,1079399 ,17396881 ,278683 ,345416878 ,1233356118 ,1964 ,0 ,16629862 ,20782541 ,0 ,0 
1993 ,1337989001 ,3031149038 ,162595882 ,271894487 ,69288 ,0 ,25522824 ,42541334 ,0 ,0 ,456965841 ,996220781 ,108553545 ,186891267 ,24794066 ,236469043 ,88711515 ,173768723 ,0 ,0 ,110244314 ,86525429 ,18852714 ,2475026 ,30580561 ,1738335 ,14260011 ,3475685 ,284242255 ,1003745023 ,15149 ,0 ,12581036 ,25403905 ,0 ,0 
1994 ,1011730675 ,2845636566 ,95116503 ,282216216 ,118130 ,0 ,18098937 ,40287103 ,0 ,0 ,333884399 ,857947919 ,69646997 ,214100592 ,22457598 ,201776738 ,71971391 ,190062003 ,0 ,0 ,89251712 ,100260120 ,11488512 ,2469014 ,47238142 ,1752851 ,12849095 ,342385 ,231557199 ,935371963 ,1731 ,0 ,8050329 ,19049662 ,0 ,0 
1995 ,817771491 ,2968440533 ,61939164 ,265055090 ,28452 ,100099 ,11099107 ,34776199 ,0 ,0 ,254290233 ,913369369 ,59461353 ,260872073 ,25448710 ,204373610 ,64711674 ,175482214 ,0 ,0 ,94897981 ,121671376 ,11603006 ,2373941 ,16990330 ,810124 ,13291630 ,576386 ,197897696 ,957766734 ,3534 ,0 ,6108621 ,31213318 ,0 ,0 
1996 ,1052933254 ,3828496291 ,77962998 ,356868867 ,35140 ,469 ,15386541 ,46962384 ,0 ,0 ,327792969 ,1160376053 ,93468206 ,345454398 ,28017693 ,268420484 ,71300433 ,212758349 ,0 ,0 ,120511582 ,134007249 ,15268688 ,2850680 ,29170041 ,1436072 ,15220110 ,350445 ,251424310 ,1253018733 ,135731 ,0 ,7238812 ,45992108 ,0 ,0 
1997 ,1260308374 ,4625360366 ,106577167 ,429210723 ,599804 ,14131641 ,22866199 ,49770693 ,0 ,0 ,372216377 ,1443484890 ,115285986 ,450573452 ,45799324 ,366161719 ,89334944 ,221816146 ,0 ,0 ,123256227 ,124335848 ,20675621 ,5421075 ,23580755 ,4516320 ,21009441 ,423535 ,307023920 ,1491484384 ,1867076 ,0 ,10215533 ,24029940 ,0 ,0 
1998 ,1621126585 ,3331610053 ,111722253 ,318365199 ,1248196 ,10902658 ,58485925 ,32254821 ,0 ,0 ,519336291 ,936587281 ,154988388 ,305355815 ,69820392 ,365175652 ,102792993 ,143824436 ,0 ,0 ,136208191 ,102149603 ,24962093 ,8402693 ,32139029 ,4223485 ,25180782 ,478479 ,373809089 ,1088900329 ,321472 ,201 ,10111491 ,14989401 ,0 ,0 
1999 ,1113296794 ,3450127551 ,64572917 ,355989429 ,3827910 ,78339036 ,14920105 ,20731621 ,0 ,0 ,376827811 ,944328512 ,79566526 ,342975369 ,25424092 ,392381715 ,76239343 ,192800394 ,0 ,0 ,121351512 ,102916931 ,18446557 ,9006071 ,17836747 ,2559615 ,17832222 ,586775 ,287247520 ,1001012178 ,135403 ,257 ,9068129 ,6499648 ,0 ,0 
2000 ,1046817935 ,5310155313 ,61771967 ,577786975 ,4658563 ,71242655 ,13750718 ,25282609 ,0 ,0 ,333117502 ,1531276553 ,62993735 ,538281107 ,31022937 ,631999766 ,79955986 ,219511515 ,0 ,0 ,137676426 ,96882495 ,14166277 ,10128683 ,12772517 ,1838353 ,13106673 ,673812 ,272794701 ,1599649296 ,8297 ,251 ,9021636 ,5601243 ,0 ,0 
