year,series_id,label,value,unit,frequency,geography,industry_code,industry_name,measure,source_id
2022,iip_production_1101101000,鉄鋼粗製品・生産,106.8,index_2020_100,calendar_year,Japan,1101101000,鉄鋼粗製品,production,industry-iip-annual-20260914
2023,iip_production_1101101000,鉄鋼粗製品・生産,104.2,index_2020_100,calendar_year,Japan,1101101000,鉄鋼粗製品,production,industry-iip-annual-20260914
2024,iip_production_1101101000,鉄鋼粗製品・生産,100.7,index_2020_100,calendar_year,Japan,1101101000,鉄鋼粗製品,production,industry-iip-annual-20260914
2025,iip_production_1101101000,鉄鋼粗製品・生産,96.6,index_2020_100,calendar_year,Japan,1101101000,鉄鋼粗製品,production,industry-iip-annual-20260914
2018,iip_production_1101102000,熱間圧延鋼材・生産,128.1,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2019,iip_production_1101102000,熱間圧延鋼材・生産,121.0,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2020,iip_production_1101102000,熱間圧延鋼材・生産,100.0,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2021,iip_production_1101102000,熱間圧延鋼材・生産,116.5,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2022,iip_production_1101102000,熱間圧延鋼材・生産,108.6,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2023,iip_production_1101102000,熱間圧延鋼材・生産,105.3,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2024,iip_production_1101102000,熱間圧延鋼材・生産,102.0,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2025,iip_production_1101102000,熱間圧延鋼材・生産,99.2,index_2020_100,calendar_year,Japan,1101102000,熱間圧延鋼材,production,industry-iip-annual-20260914
2018,iip_production_1101103000,冷間仕上鋼材・生産,130.1,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2019,iip_production_1101103000,冷間仕上鋼材・生産,122.3,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2020,iip_production_1101103000,冷間仕上鋼材・生産,100.0,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2021,iip_production_1101103000,冷間仕上鋼材・生産,120.8,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2022,iip_production_1101103000,冷間仕上鋼材・生産,107.5,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2023,iip_production_1101103000,冷間仕上鋼材・生産,102.5,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2024,iip_production_1101103000,冷間仕上鋼材・生産,99.9,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2025,iip_production_1101103000,冷間仕上鋼材・生産,99.8,index_2020_100,calendar_year,Japan,1101103000,冷間仕上鋼材,production,industry-iip-annual-20260914
2018,iip_production_1101104000,鋼管・生産,135.9,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2019,iip_production_1101104000,鋼管・生産,128.5,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2020,iip_production_1101104000,鋼管・生産,100.0,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
2021,iip_production_1101104000,鋼管・生産,102.8,index_2020_100,calendar_year,Japan,1101104000,鋼管,production,industry-iip-annual-20260914
