series_id,period,value,source_column_code
cpi_all,2023-12,106.796,0001
cpi_energy,2023-12,113.490,0167
cpi_ex_rent,2023-12,108.011,0163
cpi_all,2024-01,106.926,0001
cpi_energy,2024-01,113.814,0167
cpi_ex_rent,2024-01,108.156,0163
cpi_all,2024-02,106.896,0001
cpi_energy,2024-02,113.725,0167
cpi_ex_rent,2024-02,108.114,0163
cpi_all,2024-03,107.212,0001
cpi_energy,2024-03,114.335,0167
cpi_ex_rent,2024-03,108.490,0163
cpi_all,2024-04,107.660,0001
cpi_energy,2024-04,114.895,0167
cpi_ex_rent,2024-04,109.019,0163
cpi_all,2024-05,108.071,0001
cpi_energy,2024-05,118.431,0167
cpi_ex_rent,2024-05,109.505,0163
cpi_all,2024-06,108.191,0001
cpi_energy,2024-06,121.772,0167
cpi_ex_rent,2024-06,109.635,0163
cpi_all,2024-07,108.580,0001
cpi_energy,2024-07,125.247,0167
cpi_ex_rent,2024-07,110.097,0163
cpi_all,2024-08,109.148,0001
cpi_energy,2024-08,124.512,0167
cpi_ex_rent,2024-08,110.769,0163
cpi_all,2024-09,108.869,0001
cpi_energy,2024-09,116.314,0167
cpi_ex_rent,2024-09,110.430,0163
cpi_all,2024-10,109.538,0001
cpi_energy,2024-10,116.882,0167
cpi_ex_rent,2024-10,111.227,0163
cpi_all,2024-11,110.006,0001
cpi_energy,2024-11,120.059,0167
cpi_ex_rent,2024-11,111.775,0163
cpi_all,2024-12,110.659,0001
cpi_energy,2024-12,124.956,0167
cpi_ex_rent,2024-12,112.550,0163
cpi_all,2025-01,111.237,0001
cpi_energy,2025-01,126.137,0167
cpi_ex_rent,2025-01,113.236,0163
cpi_all,2025-02,110.812,0001
cpi_energy,2025-02,121.605,0167
cpi_ex_rent,2025-02,112.735,0163
cpi_all,2025-03,111.095,0001
cpi_energy,2025-03,121.886,0167
cpi_ex_rent,2025-03,113.068,0163
cpi_all,2025-04,111.495,0001
cpi_energy,2025-04,125.619,0167
cpi_ex_rent,2025-04,113.524,0163
cpi_all,2025-05,111.838,0001
cpi_energy,2025-05,128.023,0167
cpi_ex_rent,2025-05,113.924,0163
cpi_all,2025-06,111.729,0001
cpi_energy,2025-06,125.323,0167
cpi_ex_rent,2025-06,113.791,0163
cpi_all,2025-07,111.946,0001
cpi_energy,2025-07,124.837,0167
cpi_ex_rent,2025-07,114.042,0163
cpi_all,2025-08,112.120,0001
cpi_energy,2025-08,120.375,0167
cpi_ex_rent,2025-08,114.241,0163
cpi_all,2025-09,112.037,0001
cpi_energy,2025-09,118.952,0167
cpi_ex_rent,2025-09,114.141,0163
cpi_all,2025-10,112.808,0001
cpi_energy,2025-10,119.322,0167
cpi_ex_rent,2025-10,115.038,0163
cpi_all,2025-11,113.196,0001
cpi_energy,2025-11,123.029,0167
cpi_ex_rent,2025-11,115.487,0163
cpi_all,2025-12,113.012,0001
cpi_energy,2025-12,121.080,0167
cpi_ex_rent,2025-12,115.257,0163
cpi_all,2026-01,112.912,0001
cpi_energy,2026-01,119.532,0167
cpi_ex_rent,2026-01,115.142,0163
cpi_all,2026-02,112.217,0001
cpi_energy,2026-02,110.562,0167
cpi_ex_rent,2026-02,114.313,0163
cpi_all,2026-03,112.716,0001
cpi_energy,2026-03,114.896,0167
cpi_ex_rent,2026-03,114.893,0163
cpi_all,2026-04,113.033,0001
cpi_energy,2026-04,120.752,0167
cpi_ex_rent,2026-04,115.281,0163
cpi_all,2026-05,113.549,0001
cpi_energy,2026-05,124.816,0167
cpi_ex_rent,2026-05,115.884,0163
cpi_all,2026-06,113.595,0001
cpi_energy,2026-06,125.208,0167
cpi_ex_rent,2026-06,115.932,0163
cpi_all,2026-07,114.151,0001
cpi_energy,2026-07,125.889,0167
cpi_ex_rent,2026-07,116.588,0163
cpi_all,2026-08,114.339,0001
cpi_energy,2026-08,120.011,0167
cpi_ex_rent,2026-08,116.791,0163
